Bank Code,Bank Full Name,Year,Classification,Number of Employees,Number of Branches,Labour productivity,Network productivity,Employees Ratio,Branches Ratio,Total Deposits,Total Shareholder's Equity,Total Loans,Loan Loss Provisions  ,Non-performing Loans  ,Total Fixed Assets,Liquid Assets,Total Assets,Total Deposits Ratio,Total Loans Ratio,Total Assets Ratio,Interest Expenses,Non-Interest Expenses,Personnel Expenses,Occupancy Expenses,Other Expenses,Total Operating Expenses,Core Cost,Total Cost,Core Cost Ratio,Total Cost Ratio,Interest Incomes,Non-Interest Income,Other Incomes,Total Income,Total Income Ratio,Equity Over Total Assets,Equity Over Total Deposits,Non-performing Loans Ratio,Loan Loss Provisions Ratio,Returns Over Assets,Returns Over Equity,Net Interest Margin,Cost-Income Ratios,Liquid Assets Over Total Assets,Liquid Assets Over Total Deposits,Cumulative Gaps Over Total Assets,Off-balance Sheet Activities,Profits Before Tax,Profits After Tax
IVB,Indovina Bank Ltd.,2013,FOCB,694,27,834.74,21456,0,0,12341973,4715109,11569638,189912,288780,459651,10660876,22690165,0,0,0,809432,12130,,,,,809432,821562,0,0,1462262,132729,-101755,1493236,0,20.78,38.2,2.5,1.64,2.55,12.29,6.12,55.02,46.98,86.38,39.29,1134837,671674,579312
IVB,Indovina Bank Ltd.,2014,FOCB,745,33,884.33,19964.45,0,0,15960311,4841332,13566801,107113,162732,502857,10666240,24735898,0,0,0,660945,12118,,,,,660945,673063,0,0,1323982,88173,10098,1422253,0,19.57,30.33,1.2,0.79,2.66,13.61,6.22,47.32,43.12,66.83,52.5,2739507,749190,658827
IVB,Indovina Bank Ltd.,2015,FOCB,776,34,698.68,15946.41,0,0.01,18961124,4849261,14424844,327065,576525,523094,12239194,27187132,0,0,0,646039,14745,,,,,646039,660784,0,0,1374158,99374,-228602,1244930,0,17.84,25.57,4,2.27,1.99,11.18,5.95,53.08,45.02,64.55,51.88,2931076,584146,542178
IVB,Indovina Bank Ltd.,2016,FOCB,731,34,1070.98,23026.09,0,0.02,22159220,5181811,18771802,195355,416094,592283,18559137,37923222,0,0,0.01,804190,26647,,,,,804190,830837,0,0,1762451,130137,-175983,1716605,0,13.66,23.38,2.22,1.04,2.06,15.11,5.16,48.4,48.94,83.75,16.29,2931077,885768,782887
IVB,Indovina Bank Ltd.,2017,FOCB,768,34,1258.94,28437.21,0,0.01,26616254,5417011,22378862,471190,397810,575985,17393542,40348389,0,0,0,1051408,38012,,,,,1051408,1089420,0,0,2332974,295654,-414931,2213697,0,13.43,20.35,1.78,2.11,2.4,17.85,7.37,49.21,43.11,65.35,34.09,2931078,1124277,966865
KLB,Kienlong Commercial Joint Stock Bank,2004,JSCB,,,,,,,186116,26530,217853,3757,3757,7482,19269,244604,0,0,0,15400,6244,2917,277,2825,6019,18594,21644,0,0,29669,1871,-2530,29010,0,10.85,14.25,1.72,1.72,2.17,19.99,74.05,74.61,7.88,10.35,69.88,3310,7366,5304
KLB,Kienlong Commercial Joint Stock Bank,2005,JSCB,,,,,,,276441,45148,331500,3653,3653,7990,37334,376824,0,0,0,20930,11634,5687,346,3990,10023,26963,32564,0,0,45827,2763,-1862,46728,0,11.98,16.33,1.1,1.1,2.71,22.59,66.69,69.69,9.91,13.51,70.34,3320,14164,10198
KLB,Kienlong Commercial Joint Stock Bank,2006,JSCB,,10,,1816.3,,0,447226,318368,602124,5600,5600,9284,215642,827050,0,0,0,36646,17094,9498,485,6318,16301,46629,53740,0,0,77754,3158,-1946,78966,0,38.49,71.19,0.93,0.93,2.2,5.71,19.06,68.05,26.07,48.22,84.31,,25226,18163
KLB,Kienlong Commercial Joint Stock Bank,2007,JSCB,552,20,155.47,4290.95,0.01,0,952246,638421,1351742,7337,7337,23061,826053,2200856,0,0,0,91219,723,,,,,91219,91942,0,0,198688,1755,-1737,198706,0,29.01,67.04,0.54,0.54,3.9,13.44,13.01,46.27,37.53,86.75,32.66,108,106764,85819
KLB,Kienlong Commercial Joint Stock Bank,2008,JSCB,1006,43,37.03,866.33,0.01,0,1651950,1047288,2195377,11601,11601,45628,698013,2939018,0,0,0,225862,83378,40439,17549,23522,81510,283850,309240,0,0,351900,12284,-4291,359893,0,35.63,63.4,0.53,0.53,1.27,3.56,18.06,85.93,23.75,42.25,74.12,20587,50653,37252
KLB,Kienlong Commercial Joint Stock Bank,2009,JSCB,911,61,100.55,1501.7,0.01,0,4794376,1116678,4874377,29001,56818,51901,2552174,7478452,0,0,0,298470,123655,61751,6054,51315,119120,366275,422125,0,0,543763,16105,-17657,542211,0,14.93,23.29,1.17,0.59,1.22,8.2,9.61,77.85,34.13,53.23,46.13,33458,120086,91604
KLB,Kienlong Commercial Joint Stock Bank,2010,JSCB,1102,79,177.27,2472.76,0.01,0,6597239,3224995,7008436,61729,77717,385566,5233782,12627784,0,0,0,840685,189772,89129,7884,84694,181707,937698,1030457,0,0,1339403,-16832,-33608,1288963,0,25.54,48.88,1.11,0.88,1.55,6.06,9.53,79.94,41.45,79.33,35.93,226570,258506,195348
KLB,Kienlong Commercial Joint Stock Bank,2011,JSCB,1376,92,286.78,4289.3,0.01,0,8137593,3456133,8403856,94794,233062,433092,9012253,17849201,0,0,0,1475636,375134,149152,11098,194097,354347,1635886,1850770,0,0,2352900,58673,-36032,2375541,0.01,19.36,42.47,2.77,1.13,2.21,11.42,9.73,77.91,50.49,110.75,8.6,34927,524771,394616
KLB,Kienlong Commercial Joint Stock Bank,2012,JSCB,1500,95,234.02,3695.02,0.01,0.01,10641182,3444868,9683477,141874,283319,574958,8322564,18580999,0,0,0,1643661,579055,188050,12849,366792,567691,1844560,2222716,0.01,0.01,2721758,41667,-72955,2690470,0.01,18.54,32.37,2.93,1.47,1.89,10.19,12.95,82.61,44.79,78.21,28.78,196298,467754,351027
KLB,Kienlong Commercial Joint Stock Bank,2013,JSCB,1642,96,190.88,3264.85,0.01,0.01,13303627,3475706,12128627,125105,299720,661721,8581767,21372115,0,0,0,1354768,595408,211057,23479,353051,587587,1589304,1950176,0.01,0.01,2389127,36886,-82430,2343583,0.01,16.26,26.13,2.47,1.03,1.47,9.02,12.05,83.21,40.15,64.51,34.47,85832,393407,313426
KLB,Kienlong Commercial Joint Stock Bank,2014,JSCB,1795,97,98,1813.53,0.01,0.01,16570527,3364107,13526467,136500,264225,958094,8619365,23103926,0,0,0,1301129,550732,267470,29768,228078,525316,1598367,1851861,0.01,0.01,2094846,33215,-42489,2085572,0.01,14.56,20.3,1.95,1.01,0.76,5.23,9.21,88.79,37.31,52.02,47.6,140092,233711,175912
KLB,Kienlong Commercial Joint Stock Bank,2015,JSCB,2008,104,82.29,1588.8,0.01,0.02,20080836,3373347,16217984,137798,182562,1049432,8054822,25322238,0,0,0,1287136,587434,316943,39758,215222,571923,1643837,1874570,0.01,0.01,2109696,42193,-65659,2086230,0.01,13.32,16.8,1.13,0.85,0.65,4.9,10.21,89.85,31.81,40.11,59.04,45216,211660,165235
KLB,Kienlong Commercial Joint Stock Bank,2016,JSCB,2404,115,50.33,1052.09,0.01,0.05,22889160,3363886,19766439,169790,209650,1315479,9369090,30451008,0,0,0,1508068,703469,375114,47941,258625,681680,1931123,2211537,0.01,0.01,2294005,161197,-92029,2363173,0.01,11.05,14.7,1.06,0.86,0.4,3.6,8.39,93.58,30.77,40.93,49.85,45217,151636,120990
KLB,Kienlong Commercial Joint Stock Bank,2017,JSCB,2582,118,78.12,1709.26,0.01,0.04,26124192,3551597,24685503,219886,207110,1401126,11240176,37326805,0,0,0,1867071,833935,440189,64655,301359,806203,2371915,2701006,0.01,0.01,2908703,113254,-68757,2953200,0.01,9.51,13.6,0.84,0.89,0.54,5.68,9.27,91.46,30.11,43.03,37.96,45218,252194,201693
KLB,Kienlong Commercial Joint Stock Bank,2018,JSCB,2964,285,78.24,813.65,0.01,0.03,29206157,3750147,29216772,255222,277718,1487690,11605341,42309803,0,0,0,2196765,955178,502088,198470,227878,928436,2897323,3151943,0.01,0.01,3171636,308033,-37644,3442025,0.01,8.86,12.84,0.95,0.87,0.55,6.18,8.4,91.57,27.43,39.74,40.82,,290082,231889
KLB,Kienlong Commercial Joint Stock Bank,2019,JSCB,3185,135,21.25,501.29,0.01,0.01,32920772,3791854,33183657,295988,341956,1528792,16389672,51102121,0,0,0,2889998,1066663,577443,221296,242862,1041601,3688737,3956661,0.01,0.01,3897868,220001,-75287,4042582,0.01,7.42,11.52,1.03,0.89,0.13,1.78,6.15,97.87,32.07,49.79,32.07,,85921,67674
KLB,Kienlong Commercial Joint Stock Bank,2020,JSCB,3254,135,38.82,935.69,0.01,0.01,42017697,3918172,34423044,293153,1912804,1477785,21381158,57281987,0,0,0,2980182,1110743,627372,207814,250292,1085478,3815368,4090925,0.01,0.01,3932611,314114,2410,4249135,0,6.84,9.33,5.56,0.85,0.22,3.22,4.45,96.28,37.33,50.89,45.1,,158210,126318
KLB,Kienlong Commercial Joint Stock Bank,2021,JSCB,3369,135,228.64,5705.73,0.01,0.02,51397605,4679417,38020523,366816,726176,1403268,44398697,83822488,0.01,0,0.01,3518179,1261645,761402,205471,260338,1227211,4485052,4779824,0.01,0.01,5449139,422337,-81647,5789829,0.01,5.58,9.1,1.91,0.96,0.92,16.46,4.35,82.56,52.97,86.38,17.08,,1010005,770273
KLB,Kienlong Commercial Joint Stock Bank,2022,JSCB,3479,134,156.52,4063.59,0.01,0.02,52195871,5183574,44702595,579859,845015,1378608,39678978,85760181,0.01,0,0.01,3284730,1491324,957263,67152,434607,1459022,4309145,4776054,0.01,0.01,5376251,554059,-472393,5457917,0.01,6.04,9.93,1.89,1.3,0.63,10.5,5.27,87.51,46.27,76.02,49.62,7491098,681863,544521
LVB,Lien Viet Post Joint Stock Commercial Bank,2008,JSCB,467,13,1273.11,45733.92,0,0,2847453,3446588,2414752,5020,5020,114079,4924118,7452949,0,0,0,154371,4303,,,,,154371,158674,0,0,595326,162955,-5066,753215,0,46.24,121.04,0.21,0.21,7.98,17.25,8.96,21.07,66.07,172.93,42.15,101658,594541,594541
LVB,Lien Viet Post Joint Stock Commercial Bank,2009,JSCB,758,22,712.47,24547.86,0.01,0,7302477,3828190,5423254,28819,15453,159601,11784075,17366930,0,0,0.01,452177,329093,110503,18721,192794,322018,581401,781270,0,0,1108678,241187,-28542,1321323,0.01,22.04,52.42,0.28,0.53,3.11,14.11,5.57,59.13,67.85,161.37,-4.06,384550,540053,540053
LVB,Lien Viet Post Joint Stock Commercial Bank,2010,JSCB,1393,46,490.24,14845.65,0.01,0,12314125,4106392,9833703,78288,41076,355924,24795095,34984722,0.01,0,0.01,1264774,522199,167152,28373,315581,511106,1460299,1786973,0.01,0.01,2489081,114302,-57510,2545873,0.01,11.74,33.35,0.42,0.8,1.95,16.63,4.94,70.19,70.87,201.35,-44.5,1837608,758900,682900
LVB,Lien Viet Post Joint Stock Commercial Bank,2011,JSCB,1972,61,495.45,16016.85,0.01,0,25657567,6594001,12757139,117158,272543,601242,42773955,56132336,0.01,0.01,0.01,3135463,1059129,362712,47728,529099,939539,3545903,4194592,0.01,0.01,5193132,162935,-75194,5280873,0.01,11.75,25.7,2.14,0.92,1.74,14.82,4.81,79.43,76.2,166.71,-20.97,5271413,1086281,977028
LVB,Lien Viet Post Joint Stock Commercial Bank,2012,JSCB,2431,63,783.48,30232.25,0.01,0,41336683,7391002,22991681,403386,403386,747476,42673540,66412697,0.01,0.01,0.01,3887371,250770,,,,,3887371,4138141,0.01,0.01,6341079,108172,-306953,6142298,0.01,11.13,17.88,1.75,1.75,2.87,25.77,5.75,67.37,64.26,103.23,6.66,4464939,2004157,1904632
LVB,Lien Viet Post Joint Stock Commercial Bank,2013,JSCB,2861,79,614.31,22247.29,0.02,0,55553137,7271275,29548005,593863,593863,809898,49236338,79594241,0.02,0.01,0.02,3856416,237157,,,,,3856416,4093573,0.01,0.01,6127272,105307,-283342,5949237,0.02,9.14,13.09,2.01,2.01,2.21,24.17,4.61,68.81,61.86,88.63,11.37,5143547,1855664,1757536
LVB,Lien Viet Post Joint Stock Commercial Bank,2014,JSCB,3533,91,514.41,19971.54,0.02,0.01,77819859,7391097,41289105,473451,473451,1081018,58431629,100801752,0.02,0.01,0.02,3872312,485392,,,,,3872312,4357704,0.01,0.01,6163158,307481,-226820,6243819,0.02,7.33,9.5,1.15,1.15,1.8,24.59,3.92,69.79,57.97,75.09,22.35,15754149,1886115,1817410
LVB,Lien Viet Post Joint Stock Commercial Bank,2015,JSCB,4037,101,473.94,18943.61,0.02,0.02,77628984,7600520,56164794,694728,694728,1172472,50250119,107587385,0.02,0.01,0.02,4074593,502010,,,,,4074593,4576603,0.01,0.01,6968760,95546,-502310,6561996,0.02,7.06,9.79,1.24,1.24,1.78,25.17,5.76,69.74,46.71,64.73,26.05,28106139,1985393,1913305
LVB,Lien Viet Post Joint Stock Commercial Bank,2016,JSCB,,134,,23091.6,,0.06,110984894,8331885,79676162,970416,970416,1255165,60933928,141865255,0.02,0.02,0.02,4884081,236714,,,,,4884081,5120795,0.01,0.01,8907851,84589,-492299,8500141,0.02,5.87,7.51,1.22,1.22,2.18,37.14,6.6,60.24,42.95,54.9,36.38,28106139,3379346,3094274
LVB,Lien Viet Post Joint Stock Commercial Bank,2017,JSCB,7409,229,564.34,18258.44,0.04,0.07,128275377,9383258,100621236,1229384,1229384,1454298,61358105,163433639,0.02,0.02,0.02,6282936,737007,,,,,6282936,7019943,0.02,0.02,11509779,613074,-521728,11601125,0.02,5.74,7.31,1.22,1.22,2.56,44.56,8.52,60.51,37.54,47.83,45.07,28106139,4581182,4181182
LVB,Lien Viet Post Joint Stock Commercial Bank,2018,JSCB,8105,392,118.44,2448.86,0.03,0.05,124948075,10200892,117710462,1482962,1680455,1462219,55921851,175094532,0.02,0.02,0.02,8840534,3575998,1620343,211643,1216082,3048068,10672520,12416532,0.02,0.02,13856321,391590,-618436,13629475,0.02,5.83,8.16,1.43,1.26,0.55,9.41,8.97,91.1,31.94,44.76,57.97,39280431,1212943,959955
LVB,Lien Viet Post Joint Stock Commercial Bank,2019,JSCB,9184,542,167.62,2840.23,0.03,0.05,140000000,13000000,140000000,1720593,2030337,1503479,58496521,200000000,0.02,0.02,0.02,10000000,4284376,1864881,239834,1927465,4032180,12104715,14284376,0.02,0.02,16000000,697916,-435591,16262325,0.02,6.5,9.29,1.45,1.23,0.77,11.84,10.26,87.84,29.25,41.78,64.25,30939635,1977949,1539402
LVB,Lien Viet Post Joint Stock Commercial Bank,2020,JSCB,9946,560,212.29,3770.45,0.03,0.06,170000000,14000000,170000000,2265201,2527349,1620975,68379025,240000000,0.02,0.02,0.02,11000000,4944845,2239354,257567,2148226,4645147,13496921,15944845,0.02,0.02,18000000,1320328,-699386,18620942,0.02,5.83,8.24,1.49,1.33,0.88,15.08,10.24,85.63,28.49,40.22,67.76,43796875,2676097,2111452
LVB,Lien Viet Post Joint Stock Commercial Bank,2021,JSCB,10649,560,268.2,5100.16,0.04,0.07,180000000,17000000,210000000,3170702,2863454,1584457,78415543,290000000,0.02,0.03,0.03,12000000,5511766,2737169,273136,2080116,5090421,15010305,17511766,0.03,0.03,21000000,1454875,-1322250,21132625,0.03,5.86,9.44,1.36,1.51,0.98,16.8,11.48,82.87,27.04,43.56,61.59,78267371,3620859,2856088
LVB,Lien Viet Post Joint Stock Commercial Bank,2022,JSCB,12203,568,531.55,11419.95,0.04,0.07,215888025,24055154,235506871,4869895,3426818,1693198,90545778,327745847,0.02,0.02,0.02,13325675,3898445,3038695,282836,9084,3330615,16647206,17224120,0.03,0.03,25225644,2838172,-3173737,24890079,0.03,7.34,11.14,1.46,2.07,1.98,26.97,13.14,69.2,27.63,41.94,66.47,77446373,7665959,6486531
MB,Military Commercial Joint Stock Bank,2003,JSCB,,,,,,,2768397,378304,2691422,15049,24090,30195,1324925,4046542,0.01,0.01,0.01,124312,27919,10984,2809,14126,27919,138105,152231,0.01,0.01,208526,33499,-17255,224770,0.01,9.35,13.67,0.9,0.56,1.26,13.44,6.36,67.73,32.74,47.86,45.36,1834940,72539,50853
MB,Military Commercial Joint Stock Bank,2004,JSCB,500,17,150.77,4434.29,0.01,0.01,5520607,481739,3455160,24791,48040,92955,2985816,6533931,0.01,0.01,0.01,159700,52029,16047,4608,28386,49041,180355,211729,0.01,0.01,301772,34742,-20746,315768,0.01,7.37,8.73,1.39,0.72,1.15,15.65,4.76,67.05,45.7,54.08,79.16,6587217,104039,75383
MB,Military Commercial Joint Stock Bank,2005,JSCB,711,25,153.37,4361.8,0.01,0.01,6069812,636598,4218138,82286,70865,107508,3971573,8297219,0.01,0.01,0.01,236544,80756,27061,10528,37319,74908,274133,317300,0.01,0.01,476461,65923,-76469,465915,0.01,7.67,10.49,1.68,1.95,1.31,17.13,6.04,68.1,47.87,65.43,56.14,4415009,148615,109045
MB,Military Commercial Joint Stock Bank,2006,JSCB,1068,38,205.05,5762.89,0.01,0.01,10312619,1380912,5836049,163016,166718,167867,7770419,13774335,0.02,0.01,0.01,499261,185193,55561,17893,104241,177695,572715,684454,0.01,0.01,895370,184078,-125395,954053,0.01,10.03,13.39,2.86,2.79,1.59,15.86,5.1,71.74,56.41,75.35,62.24,4877487,269599,218990
MB,Military Commercial Joint Stock Bank,2007,JSCB,1885,65,261.33,7578.58,0.02,0.02,17784837,3479521,11612575,143776,117598,349283,17805500,29767358,0.02,0.01,0.02,947805,374075,118146,39695,203044,360885,1105646,1321880,0.01,0.01,1581122,434305,-84561,1930866,0.02,11.69,19.56,1.01,1.24,1.65,14.16,3.56,68.46,59.82,100.12,41.43,13962616,608986,492608
MB,Military Commercial Joint Stock Bank,2008,JSCB,2950,111,236,6272.12,0.02,0,27162881,4424064,15740426,246917,288058,1145300,27707297,44593023,0.02,0.01,0.02,2258587,876893,234025,66247,255166,555438,2558859,3135480,0.02,0.02,3679299,538827,-221763,3996363,0.02,9.92,16.29,1.83,1.57,1.56,15.74,5.13,78.46,62.13,102,23.59,16375197,860883,696205
MB,Military Commercial Joint Stock Bank,2009,JSCB,2999,111,391.37,10574.12,0.02,0,39978447,6888072,29587941,447182,467742,978179,38889350,69455470,0.03,0.02,0.03,2212353,852272,349706,110425,323928,784059,2672484,3064625,0.02,0.02,4050421,883656,-364382,4569695,0.02,9.92,17.23,1.58,1.51,1.69,17.04,4.73,67.06,55.99,97.28,28.71,27424424,1505070,1173727
MB,Military Commercial Joint Stock Bank,2010,JSCB,3269,140,533.85,12465.47,0.02,0,65740838,8882344,48796586,738336,613170,1354294,60210653,110361533,0.03,0.02,0.03,5246502,1400575,567111,129089,557683,1253883,5942702,6647077,0.03,0.03,8765605,715788,-546247,8935146,0.03,8.05,13.51,1.26,1.51,1.58,19.65,5.84,74.39,54.56,91.59,27.85,57691053,2288069,1745166
MB,Military Commercial Joint Stock Bank,2011,JSCB,4439,176,431.48,10882.59,0.03,0.01,89548673,9642143,59044837,1092540,937382,1698545,79180650,139924032,0.04,0.03,0.03,8598491,2428905,824090,199746,856824,1880660,9622327,11027396,0.03,0.03,13820889,472977,-641146,13652720,0.03,6.89,10.77,1.59,1.85,1.37,19.86,6.6,80.77,56.59,88.42,43.99,75794710,2625324,1915336
MB,Military Commercial Joint Stock Bank,2012,JSCB,5806,191,399.59,12146.78,0.03,0.01,117747416,12863906,74478564,1312741,1371639,1497636,100946505,176922705,0.04,0.03,0.04,8835583,3145882,1426502,241818,1028339,2696659,10503903,11981465,0.03,0.03,15499955,1598221,-2027161,15071015,0.03,7.27,10.93,1.84,1.76,1.31,18.04,6.6,79.5,57.06,85.73,23.87,73285912,3089550,2320035
MB,Military Commercial Joint Stock Bank,2013,JSCB,6128,214,373,10680.92,0.03,0.01,136088812,15148182,87742915,1770148,2146075,1837348,92570949,182151212,0.04,0.03,0.04,7331932,3011140,1279359,624357,842758,2746474,9235648,10343072,0.03,0.03,13456303,1800780,-1892379,13364704,0.03,8.32,11.13,2.45,2.02,1.25,15.09,6.62,77.39,50.82,68.02,35.46,52110010,3021632,2285716
MB,Military Commercial Joint Stock Bank,2014,JSCB,6939,231,360.71,10835.44,0.04,0.01,167608507,16561085,100569006,2462741,2745450,1927332,100455577,202951915,0.04,0.03,0.04,6608529,3590876,1496572,658808,958822,3114202,8763909,10199405,0.03,0.03,13148604,2243493,-2018690,13373407,0.04,8.16,9.88,2.73,2.45,1.23,15.11,6.51,76.27,49.5,59.93,50.41,77997450,3174002,2502987
MB,Military Commercial Joint Stock Bank,2015,JSCB,7810,259,321.66,9699.36,0.04,0.04,181565384,23183051,121348630,1976382,1949594,1931689,99738056,223018375,0.04,0.03,0.03,6219098,4519784,1660746,741143,1047240,3449129,8620987,10738882,0.03,0.03,13537628,2523993,-2102068,13959553,0.04,10.4,12.77,1.61,1.63,1.13,10.84,7.34,76.93,44.72,54.93,57.1,89555115,3220671,2512134
MB,Military Commercial Joint Stock Bank,2016,JSCB,10656,268,270.6,10759.52,0.06,0.12,194812397,26588446,150737702,2050313,1987197,2457844,105113267,258308813,0.04,0.03,0.04,7573533,4932472,2222110,821682,1130876,4174668,10617325,12506005,0.03,0.03,15552477,2634217,-2030104,16156590,0.04,10.29,13.65,1.32,1.36,1.12,10.85,7.59,77.4,40.69,53.96,46.09,89555115,3650585,2883551
MB,Military Commercial Joint Stock Bank,2017,JSCB,13094,285,266.57,12247.07,0.06,0.09,220176022,29601170,184188142,2125684,2217657,2604460,129210910,316003512,0.04,0.03,0.04,8657074,8615350,3410749,967191,1621299,5999239,13035014,17272424,0.03,0.04,19876026,5264235,-3252111,21888150,0.04,9.37,13.44,1.2,1.15,1.1,11.79,8.68,78.91,40.89,58.69,40.62,89555115,4615726,3490415
MB,Military Commercial Joint Stock Bank,2018,JSCB,15233,300,398.69,20244.14,0.06,0.04,239964318,34172858,211474953,3211005,2859688,2699314,148150795,362325062,0.04,0.03,0.04,10240868,12795721,4968364,369448,3395990,8733802,15578680,23036589,0.03,0.04,24824365,8898327,-3035388,30687304,0.05,9.43,14.24,1.35,1.52,1.68,17.77,9.84,75.07,40.89,61.74,50.36,,7650715,6073243
MB,Military Commercial Joint Stock Bank,2019,JSCB,15691,301,514.22,26805.99,0.05,0.03,272709512,39885814,247129710,3200914,2897638,2798062,161559804,411487576,0.04,0.03,0.04,13196607,13387605,6064062,393579,3266065,9723706,19654248,26584212,0.04,0.04,31196604,10314351,-4890623,36620332,0.05,9.69,14.63,1.17,1.3,1.96,20.23,11.14,72.59,39.26,59.24,52.14,,10036120,8068604
MB,Military Commercial Joint Stock Bank,2020,JSCB,14852,301,579.45,28591.49,0.05,0.03,310960354,50099495,298296983,4354219,2897638,4310919,196728479,499336381,0.04,0.04,0.04,12489598,16337352,5998888,625563,3931006,10555457,19114049,28826950,0.03,0.04,32767393,12866273,-6118440,39515226,0.05,10.03,16.11,0.97,1.46,1.72,17.18,10.31,72.95,39.4,63.26,26.42,,10688276,8606039
MB,Military Commercial Joint Stock Bank,2021,JSCB,15910,301,830.87,43917.38,0.06,0.04,384692155,62486023,363554778,8757684,3247806,4678447,247664878,615898103,0.05,0.05,0.05,12265932,21274555,6710310,1086194,4580684,12377188,20062436,33540487,0.05,0.06,38464932,19632311,-8030051,50067192,0.07,10.15,16.24,0.89,2.41,2.15,21.16,10.58,66.99,40.21,64.38,29.65,,16526705,13219131
MB,Military Commercial Joint Stock Bank,2022,JSCB,16136,309,1124.04,58697.44,0.06,0.04,443.605.638,79613219,448.598.622,11975860,5031294,5073508,286836103,740508233,0.05,0.05,0.05,16462690,25807943,8154390,1277145,5384093,14815628,25894225,42270633,0.05,0.06,52485812,20561818,-8047677,64999953,0.07,10.75,17.95,1.12,2.67,2.45,22.78,12.56,65.03,38.74,64.66,29.9,197450420,22729320,18137509
MSB,Vietnam Maritime Commercial Joint Stock Bank,2005,JSCB,,,,,,,3333608,245493,2332739,16046,16046,73629,1972164,4378532,0.01,0,0.01,,,,,,,,,,,,,,,,5.61,7.36,0.69,0.69,,,,,45.04,59.16,56.6,,,
MSB,Vietnam Maritime Commercial Joint Stock Bank,2006,JSCB,599,,132,,0.01,,3785316,795055,2888130,36641,108567,87797,5545358,8521285,0.01,0,0.01,355011,88434,33583,10330,39530,83443,398924,443445,0.01,0.01,564065,30460,-41644,552881,0.01,9.33,21,3.76,1.27,0.93,9.94,3.77,80.21,65.08,146.5,-2.36,,109436,79068
MSB,Vietnam Maritime Commercial Joint Stock Bank,2007,JSCB,854,39,202.4,4431.95,0.01,0.01,7368648,1883804,6527868,34479,136028,103047,10938109,17569024,0.01,0.01,0.01,706589,145631,58665,11245,68386,138296,776499,852220,0.01,0.01,1060638,89501,-58060,1092079,0.01,10.72,25.57,2.08,0.53,0.98,9.18,3.24,78.04,62.26,148.44,-7.97,,239859,172846
MSB,Vietnam Maritime Commercial Joint Stock Bank,2008,JSCB,1382,88,229.12,3598.3,0.01,0,14111556,1873374,11209764,85618,85618,219635,21196655,32626054,0.01,0.01,0.02,1755291,306964,124757,14673,152165,291595,1894721,2062255,0.01,0.01,2481603,91963,-74303,2499263,0.01,5.74,13.28,0.76,0.76,0.97,16.9,3.43,82.51,64.97,150.21,-13.12,,437008,316650
MSB,Vietnam Maritime Commercial Joint Stock Bank,2009,JSCB,1886,109,409.8,7090.7,0.01,0,30053287,3553452,23871616,173120,173120,258567,39751861,63882044,0.02,0.02,0.02,2763209,535130,248251,22599,238270,509120,3034059,3298339,0.02,0.02,4041658,422716,-160720,4303654,0.02,5.56,11.82,0.73,0.73,1.21,21.75,3.22,76.64,62.23,132.27,-7.87,,1005315,772886
MSB,Vietnam Maritime Commercial Joint Stock Bank,2010,JSCB,2587,138,447.28,8384.91,0.02,0,48626708,6327589,31829535,308000,308000,615381,82891167,115336083,0.02,0.02,0.03,6326175,980013,418307,33804,472096,924207,6778286,7306188,0.03,0.03,8246078,715966,-137668,8824376,0.03,5.49,13.01,0.97,0.97,1,18.29,2.32,82.8,71.87,170.46,-27.26,,1518188,1157117
